id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
7129300520,20141013T000000,221900,3,1,1180,5650,1
6414100192,20141209T000000,538000,3,2.25,2570,7242,2
5631500400,20150225T000000,180000,2,1,770,10000,1
2487200875,20141209T000000,604000,4,3,1960,5000,1
1954400510,20150218T000000,510000,3,2,1680,8080,1
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1
1321400060,20140627T000000,257500,3,2.25,1715,6819,2
2008000270,20150115T000000,291850,3,1.5,1060,9711,1
2414600126,20150415T000000,229500,3,1,1780,7470,1
3793500160,20150312T000000,323000,3,2.5,1890,6560,2
1736800520,20150403T000000,662500,3,2.5,3560,9796,1
9212900260,20140527T000000,468000,2,1,1160,6000,1
114101516,20140528T000000,310000,3,1,1430,19901,1.5
6054650070,20141007T000000,400000,3,1.75,1370,9680,1
1175000570,20150312T000000,530000,5,2,1810,4850,1.5
9297300055,20150124T000000,650000,4,3,2950,5000,2
1875500060,20140731T000000,395000,3,2,1890,14040,2
6865200140,20140529T000000,485000,4,1,1600,4300,1.5
16000397,20141205T000000,189000,2,1,1200,9850,1
7983200060,20150424T000000,230000,3,1,1250,9774,1
6300500875,20140514T000000,385000,4,1.75,1620,4980,1
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,1
7137970340,20140703T000000,285000,5,2.5,2270,6300,2
8091400200,20140516T000000,252700,2,1.5,1070,9643,1
3814700200,20141120T000000,329000,3,2.25,2450,6500,2
1202000200,20141103T000000,233000,3,2,1710,4697,1.5
1794500383,20140626T000000,937000,3,1.75,2450,2691,2
3303700376,20141201T000000,667000,3,1,1400,1581,1.5
5101402488,20140624T000000,438000,3,1.75,1520,6380,1
1873100390,20150302T000000,719000,4,2.5,2570,7173,2
8562750320,20141110T000000,580500,3,2.5,2320,3980,2
2426039314,20141201T000000,280000,2,1.5,1190,1265,3
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5
7589200193,20141110T000000,535000,3,1,1090,3000,1.5
7955080270,20141203T000000,322500,4,2.75,2060,6659,1
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5
9435300030,20140528T000000,550000,4,1,1660,34848,1
2768000400,20141230T000000,640000,4,2,2360,6000,2
7895500070,20150213T000000,240000,4,1,1220,8075,1
2078500320,20140620T000000,605000,4,2.5,2620,7553,2
5547700270,20140715T000000,625000,4,2.5,2570,5520,2
7766200013,20140811T000000,775000,4,2.25,4220,24186,1
7203220400,20140707T000000,861990,5,2.75,3595,5639,2
9270200160,20141028T000000,685000,3,1,1570,2280,2
1432701230,20140729T000000,309000,3,1,1280,9656,1
8035350320,20140718T000000,488000,3,2.5,3160,13603,2
8945200830,20150325T000000,210490,3,1,990,8528,1
4178300310,20140716T000000,785000,4,2.5,2290,13416,2
9215400105,20150428T000000,450000,3,1.75,1250,5963,1
822039084,20150311T000000,1.35E+06,3,2.5,2753,65005,1
5245600105,20140916T000000,228000,3,1,1190,9199,1
7231300125,20150217T000000,345000,5,2.5,3150,9134,1
7518505990,20141231T000000,600000,3,1.75,1410,4080,1
3626039271,20150205T000000,585000,2,1.75,1980,8550,1
4217401195,20150303T000000,920000,5,2.25,2730,6000,1.5
9822700295,20140512T000000,885000,4,2.5,2830,5000,2
9478500640,20140819T000000,292500,4,2.5,2250,4495,2
2799800710,20150407T000000,301000,3,2.5,2420,4750,2
7922800400,20140827T000000,951000,5,3.25,3250,14342,2
8079040320,20150223T000000,430000,4,3,1850,9976,2
1516000055,20141210T000000,650000,3,2.25,2150,21235,1
9558200045,20140828T000000,289000,3,1.75,1260,8400,1
5072410070,20141021T000000,505000,3,1.75,2519,8690,2
9528102996,20141207T000000,549000,3,1.75,1540,1044,3
1189001180,20140603T000000,425000,3,2.25,1660,6000,1
3253500160,20141120T000000,317625,3,2.75,2770,3809,1.5
3394100030,20140909T000000,975000,4,2.5,2720,11049,2
3717000160,20141009T000000,287000,4,2.5,2240,4648,2
1274500060,20140825T000000,204000,3,1,1000,12070,1
1802000060,20140612T000000,1.33E+06,5,2.25,3200,20158,1
1525059190,20140912T000000,1.04E+06,5,3.25,4770,50094,1
1049000060,20150105T000000,325000,3,2,1260,5612,1
8820901275,20140610T000000,571000,4,2,2750,7807,1.5
5416510140,20140710T000000,360000,4,2.5,2380,5000,2
3444100400,20150316T000000,349000,3,1.75,1790,50529,1
3276920270,20141105T000000,832500,4,4,3430,35102,2
